2317563	Zungwe	Zungwe		7.37521	8.73833	P	PPL	NG		26	7005			0		124	Africa/Lagos	2016-01-30
2317564	River Zungur	River Zungur		11.3832	8.39041	H	STM	NG		29				0		519	Africa/Lagos	2009-08-14
2317565	River Zunguru	River Zunguru	River Zungur,River Zunguru,Zungur	9.95626	9.8616	H	STM	NG		46				0		513	Africa/Lagos	2016-05-07
2317566	Zungur	Zungur	Zungur	9.97513	9.7869	P	PPL	NG		46	5002	BA0217		0		548	Africa/Lagos	2016-06-22
2317567	Zungunba	Zungunba		12.7482	8.40077	P	PPL	NG		39	18019	JI2710		0		462	Africa/Lagos	2016-06-22
2317568	Zungoro	Zungoro	Zangoro,Zungoro	10.07	6.56061	P	PPL	NG		31	27022			0		245	Africa/Lagos	2016-01-30
2317569	Zungeru	Zungeru	Zungeru,zong gai lu,zungeru,zwngrw,Зунгеру,זונגרו,ズンゲル,宗盖鲁	9.80726	6.15238	P	PPL	NG		31	27025			24447		125	Africa/Lagos	2016-01-30
2317570	Zunfur	Zunfur		12.25795	13.10964	P	PPL	NG		27	120	12005		0		305	Africa/Lagos	2016-06-22
2317571	Zuna	Zuna		10.62729	8.88242	P	PPL	NG		46	5018	BA1809		0		757	Africa/Lagos	2016-06-22
2317572	Zun	Zun		7.27605	8.67638	P	PPL	NG		26	7005			0		135	Africa/Lagos	2016-01-30
2317573	Zumugu	Zumugu		13.11766	11.36349	P	PPL	NG		44	717	71704		0		334	Africa/Lagos	2016-06-22
2317574	Zumta	Zumta		10.64452	12.10609	P	PPL	NG		27	105	10502		0		634	Africa/Lagos	2016-06-22
2317575	Zumma	Zumma	Zumma,Zumna	11.5662	11.28765	P	PPL	NG		44	704	70405		0		438	Africa/Lagos	2016-06-22
2317576	Zummo	Zummo	Zummo	9.86019	12.95002	P	PPL	NG		35	2018			0		514	Africa/Lagos	2022-11-11
2317577	Zumburum	Zumburum	Zumburum	10.94911	10.18146	P	PPL	NG		39	18008	JI1107		0		479	Africa/Lagos	2016-06-22
2317578	Zumbulum	Zumbulum	Sumbulim,Sumbulimbe,Zumbulum	11.26665	13.91505	P	PPL	NG		27	111	11109		0		350	Africa/Lagos	2016-06-22
