		319	Africa/Lagos	2020-03-11
12136546	River Ode	River Ode		8.48682	4.24485	H	STM	NG		32				0		315	Africa/Lagos	2020-03-11
12136547	Ga-Afingba	Ga-Afingba		8.4778	4.25077	P	PPL	NG		32				0		320	Africa/Lagos	2020-03-11
12136548	Budo-Titun	Budo-Titun		8.4721	4.25971	P	PPL	NG		32				0		342	Africa/Lagos	2020-03-11
12136549	River Alaje	River Alaje		8.48208	4.25315	H	STM	NG		32				0		321	Africa/Lagos	2020-03-11
12136550	River Elewura	River Elewura		8.48765	4.24923	H	STM	NG		32				0		314	Africa/Lagos	2020-03-11
12136551	Alapete	Alapete		8.46461	4.21339	P	PPL	NG		32				0		353	Africa/Lagos	2020-03-11
12136552	Ajakaiye	Ajakaiye		8.47421	4.18464	P	PPL	NG		32				0		361	Africa/Lagos	2020-03-11
12136553	Budo-Biyayin	Budo-Biyayin		8.47206	4.17697	P	PPL	NG		32				0		371	Africa/Lagos	2020-03-11
12136554	Keredolu	Keredolu		8.45862	4.19894	P	PPL	NG		32				0		372	Africa/Lagos	2020-03-11
12136555	River Ohan	River Ohan		8.71059	4.32354	H	STM	NG		00				0		264	Africa/Lagos	2021-03-19
12136556	Onilu	Onilu		8.44604	4.23847	P	PPL	NG		32				0		363	Africa/Lagos	2020-03-11
12136557	Sansan	Sansan		8.435	4.25992	P	PPL	NG		32				0		389	Africa/Lagos	2020-03-11
12136558	Ogbin	Ogbin		8.41648	4.21864	P	PPL	NG		32				0		379	Africa/Lagos	2020-03-11
12136559	Olodan	Olodan		8.39742	4.16137	P	PPL	NG		32				0		376	Africa/Lagos	2020-03-11
12136560	Kango	Kango		8.38748	4.15344	P	PPL	NG		32				0		398	Africa/Lagos	2020-03-11
12136561	Igboroko	Igboroko		8.38691	4.19712	P	PPL	NG		32				0		385	Africa/Lagos	2020-03-11
12136562	Asiwokeu	Asiwokeu		8.39331	4.21033	P	PPL	NG		32				0		392	Africa/Lagos	2020-03-11
12136563	River Okolo	River Okolo		8.37335	4.2278	H	STM	NG		32				0		347	Africa/Lagos	2020-03-11
12136564	River Apomu	River Apomu		8.40462	4.30266	H	STM	NG		32				0		325	Africa/Lagos	2020-03-11
12136565	Ladele	Ladele		8.37576	4.24975	P	PPL	NG		32				0		351	Africa/Lagos	2020-03-11
12136566	Elelu	Elelu		8.37196	4.28489	P	PPL	NG		32				0		359	Africa/Lagos	2020-03-11
12136567	Alata	Alata		8.36496	4.21676	P	PPL	NG		32				0		385	Africa/Lagos	2020-03-11
12136568	Onikolobo	Onikolobo		8.36742	4.21594	P	PPL	NG		32				0		379	Africa/Lagos	2020-03-11
12136569	Onira	Onira		8.35562	4.24602	P	PPL	NG		32				0		379	Africa/Lagos	2020-03-11
12136570	River Laro	River Laro		8.37891	4.27225	H	STM	NG		32				0		333	Africa/Lagos	2020-03-11
12136571	Awoluba	Awoluba		8.34016	4.28656	P	PPL	NG		32				0		373	Africa/Lagos	2020-03-11
12136572	Alate	Alate		8.31069	4.37732	P	PPL	NG		32				0		390	Africa/Lagos	2020-03-11
12136573	Olawole	Olawole		8.31089	4.40867	P	PPL	NG		32				0		363	Africa/Lagos	2020-03-11
12136574	River Oloyin	River Oloyin		8.33829	4.32532	H	STM	NG		32				0		355	Africa/Lagos	2020-03-11
12136575	Lapor	Lapor		8.34029	4.38362	P	PPL	NG		32				0		375	Africa/Lagos	2020-03-11
12136576	Odo-Omo	Odo-Omo		8.34202	4.4218	P	PPL	NG		32				0		363	Africa/Lagos	2020-03-11
12136577	Falokun	Falokun		8.31873	4.44732	P	PPL	NG		32				0		343	Africa/Lagos	2020-03-11
12136578	River Imaleke	River Imaleke		8.31307	4.46419	H	STM	NG		00				0		319	Africa/Lagos	2020-03-11
12136579	River Jaju	River Jaju		8.29666	4.48826	H	STM	NG		00				0		305	Africa/Lagos	2020-03-11
12136580	Jaju-Onigbo	Jaju-Onigbo		8.30835	4.46213	P	PPL	NG		32				0		335	Africa/Lagos	2020-03-11
12136581	River Ijiya	River Ijiya		8.40517	4.4998	H	STM	NG		30				0		311	Africa/Lagos	2020-03-11
12136582	Gaa	Gaa		8.3937	4.42103	P	PPL	NG		30				0		365	Africa/Lagos	2020-03-11
12136583	Aloba	Aloba		8.39334	4.36622	P	PPL	NG		32				0		350	Africa/Lagos	2020-03-11
