2340666	Gimba	Gimba		9.90707	7.68672	P	PPL	NG		23	19008	KD0802		0		683	Africa/Lagos	2016-06-22
2340667	Gimba	Gimba		9.012	8.62005	P	PPL	NG		56	26013			0		468	Africa/Lagos	2016-02-06
2340668	Gimare Kosa	Gimare Kosa		8.48105	8.55538	P	PPL	NG		56	26008			0		167	Africa/Lagos	2020-01-08
2340669	Gimare	Gimare		8.49121	8.56178	P	PPL	NG		56	26008			0		188	Africa/Lagos	2020-01-08
2340670	Giloagli	Giloagli	Giloagli	8.63552	5.10741	P	PPL	NG		30	24005			0		266	Africa/Lagos	2022-12-20
2340671	Gilliri	Gilliri	Gilliri	10.55906	10.08834	P	PPL	NG		46	5008	BA0810		0		593	Africa/Lagos	2016-06-22
2340672	Gilliri	Gilliri		10.39238	9.97823	P	PPL	NG		46	5008	BA0811		0		536	Africa/Lagos	2016-06-22
2340673	Gilkobi	Gilkobi		10.0789	8.9548	P	PPL	NG		49				0		888	Africa/Lagos	2015-05-06
2340674	Gilkari	Gilkari	Gilkali,Gilkari	11.8963	11.14413	P	PPL	NG		44	705	70514		0		386	Africa/Lagos	2016-06-22
2340675	Gilima	Gilima		12.2235	9.43743	P	PPL	NG		39	18002	JI2606		0		383	Africa/Lagos	2016-06-22
2340676	Gilik	Gilik		11.6749	10.5561	P	PPL	NG		46	5007	BA0717		0		389	Africa/Lagos	2016-06-22
2340677	Gilli-Gilli	Gilli-Gilli	Gili-Gili,Gilli-Gilli	6.15302	5.34638	P	PPL	NG		37	12014			0		17	Africa/Lagos	2016-01-30
2340678	Gilli-Gilli Forest Reserve	Gilli-Gilli Forest Reserve	Gili-Gili Forest Reserve,Gili-Gili Native Area,Giligili Forest Reserve,Gilli-Gilli Forest Reserve	6.09683	5.43484	L	RESF	NG		37				0		23	Africa/Lagos	2016-04-10
2340679	Gilgil	Gilgil		11.96713	14.46198	P	PPL	NG		27	115	11506		0		299	Africa/Lagos	2016-06-22
2340680	Gilego	Gilego		12.14549	14.56029	P	PPL	NG		27	115	11505		0		295	Africa/Lagos	2016-06-22
2340681	Gile	Gile		7.32882	8.60874	P	PPL	NG		26	7010			0		146	Africa/Lagos	2016-01-30
2340682	Gildanbara	Gildanbara		10.06437	12.57317	P	PPL	NG		35	2005			0		565	Africa/Lagos	2016-01-30
2340683	Kagatakowa	Kagatakowa	Kagatakowa,River Gilbundi	12.57816	5.36357	H	STM	NG		51				0		260	Africa/Lagos	2012-01-18
2340684	Gilbosu	Gilbosu		12.81564	11.31531	P	PPL	NG		44	702	70206		0		339	Africa/Lagos	2016-06-22
2340685	Gilbedi	Gilbedi		13.65	5.78333	P	PPL	NG		51	604	60408		0		282	Africa/Lagos	2016-06-22
2340686	Gilari	Gilari		11.70307	3.6923	P	PPL	NG		40	508	50802		0		162	Africa/Lagos	2016-06-22
2340687	Gikau	Gikau		6.88579	11.44507	P	PPL	NG		43	35011			0		1517	Africa/Lagos	2023-06-14
2340688	Gijiwa	Gijiwa		9.95696	6.54121	P	PPL	NG		31	27022			0		237	Africa/Lagos	2016-01-30
2340689	Gijiwa	Gijiwa	Gijiwa,Gijiwi	9.78453	6.31808	P	PPL	NG		31	27022			0		251	Africa/Lagos	2016-01-30
2340690	Gajia Forest Reserve	Gajia Forest Reserve	Argungu Native Area Number 4,Gajia Forest Reserve,Gijia Native Area	12.63234	4.7108	L	RESF	NG		40				0		293	Africa/Lagos	2012-01-18
2340691	Gijia	Gijia		12.6594	4.63949	P	PPL	NG		40	503	50306		0		260	Africa/Lagos	2016-06-22
2340692	Gijia	Gijia		12.4673	6.64415	P	PPL	NG		57	808	80801		0		405	Africa/Lagos	2016-06-22
2340693	Gigyara	Gigyara	Gigyara	9.88196	9.91771	P	PPL	NG		46	5001	BA0107		0		542	Africa/Lagos	2016-06-22
2340694	Gigira	Gigira		9.3658	8.10852	P	PPL	NG		23	19007	KD0703		0		564	Africa/Lagos	2016-06-22
2340695	Giginya Bakwai	Giginya Bakwai		11.63165	9.67194	P	PPL	NG		39	18018	JI0503		0		396	Africa/Lagos	2016-06-22
2340696	Gigiyan	Gigiyan	Giginya,Gigiyan	12.64637	8.88711	P	PPL	NG		39	18004	JI0206		0		392	Africa/Lagos	2016-06-22
2340697	Giginya	Giginya		11.2501	8.81063	P	PPL	NG		29	20011	KN3607		0		604	Africa/Lagos	2016-06-22
2340698	Gigin	Gigin		12.10172	7.79364	P	PPL	NG		24	429	42904		0		596	Africa/Lagos	2016-06-22
2340699	Gigani	Gigani	Gigane,Gigani	13.49061	5.23347	P	PPL	NG		51	607	60705		0		264	Africa/Lagos	2016-06-22
2340700	Gigani	Gigani		12.64961	4.07239	P	PPL	NG		40	502	50203		0		218	Africa/Lagos	2016-06-22
2340701	Gigane	Gigane		10.86667	7.46667	P	PPL	NG		23	19004	KD0410		0		654	Africa/Lagos	2016-06-22
2340702	Gierkun Station	Gierkun Station	Gierkun,Gierkun Station	9.58162	5.80629	S	RSTN	NG		31	27025			0		140	Africa/Lagos	2022-02-17
2340703	Gierkun	Gierkun		9.57909	5.80465	P	PPL	NG		31	27025			0		145	Africa/Lagos	2016-01-30
2340704	Giere	Giere		9.43694	12.81549	P	PPL	NG		35	2002			0		182	Africa/Lagos	2019-12-03
2340705	Gidimbiri	Gidimbiri	Gidimbiri	8.223	11.47923	P	PPL	NG		43	35002			0		457	Africa/Lagos	2022-11-11
2340706	Gidima	Gidima	Gidima,Tsalibawa	13.2666	5.03679	P	PPL	NG		51	619	61902		0		277	Africa/Lagos	2016-06-22
2340707	Gidila	Gidila		10.18534	12.88821	P	PPL	NG		35	2007			0		552	Africa/Lagos	2016-01-30
2340708	Gidigidi	Gidigidi		7.41667	4.03333	P	PPL	NG		32	31005			0		199	Africa/Lagos	2016-01-30
2340709	Gidi-Gidi	Gidi-Gidi	Gidi Gidi,Gidi-Gidi	7.49479	4.11378	P	PPL	NG		32	31020			0		204	Africa/Lagos	2023-10-06
2340710	Gidiga	Gidiga		12.1085	4.30001	P	PPL	NG		40	514	51406		0		235	Africa/Lagos	2018-05-09
2340711	Dutse Gidi Hill	Dutse Gidi Hill	Dutse Gidi,Dutse Gidi Hill	10.7193	12.12809	T	HLL	NG		27	105	10508		0		731	Africa/Lagos	2016-06-22
2340712	Gidi	Gidi	Gidi	10.19102	10.59367	P	PPL	NG		46	5001	BA0102		0		328	Africa/Lagos	2016-06-22
2340713	Gidi	Gidi	Gidi	8.62462	6.68335	P	PPL	NG		31	27012			0		153	Africa/Lagos	2022-12-20
2340714	Gidhlil	Gidhlil	Gidhlil	10.25486	12.93499	T	HLL	NG		35	2007			0		611	Africa/Lagos	2018-12-04
2340715	Gidgid	Gidgid		11.74485	11.0927	P	PPL	NG		44	712	71214		0		417	Africa/Lagos	2016-06-22
2340716	Gidgid	Gidgid	Gidgid	9.47794	9.84499	P	PPL	NG		49	32007			0		458	Africa/Lagos	2016-05-07
2340717	Gidenari	Gidenari		11.5618	10.0287	P	PPL	NG		46	5016	BA1607		0		405	Africa/Lagos	2016-06-22
2340718	Gidel	Gidel		10.27574	12.9398	P	PPL	NG		35	2007			0		539	Africa/Lagos	2016-01-30
2340719	Gidda Manti	Gidda Manti	Gidda Manti	7.44017	11.42523	P	PPL	NG		43	35004			0		302	Africa/Lagos	2023-02-11
2340720	Gidan Zunkpaida	Gidan Zunkpaida		9.72471	6.76718	P	PPL	NG		31	27022			0		371	Africa/Lagos	2016-01-30
2340721	Gidan Zomo	Gidan Zomo		9.95848	8.02271	P	PPL	NG		23	19022	KD2203		0		744	Africa/Lagos	2016-06-22
2340722	Gidan Zari	Gidan Zari	Gidan Zari,Zari	9.76155	6.7901	P	PPL	NG		31	27022			0		414	Africa/Lagos	2016-01-30
2340723	Gidan Yusufu	Gidan Yusufu		9.5	7.46667	P	PPL	NG		23	19011	KD1103		0		597	Africa/Lagos	2016-06-22
2340724	Gidan Yodi	Gidan Yodi		13.6	5.3	P	PPL	NG		51	607	60708		0		267	Africa/Lagos	2016-06-22
2340725	Gidan Yausa	Gidan Yausa		7.32834	10.4571	P	PPL	NG		43	35009			0		231	Africa/Lagos	2016-01-30
2340726	Gidan Yargora	Gidan Yargora	Gidan Yargora,Yargora	11.38793	8.04814	P	PPL	NG		23	19005	KD0501		0		662	Africa/Lagos	2016-06-22
2340727	Gidan Yango	Gidan Yango		8.54872	8.74369	P	PPL	NG		56	26008			0		238	Africa/Lagos	2022-05-22
