7007387	Satasey	Satasey		13.01586	4.65473	P	PPL	NG		40	504	50407		0		241	Africa/Lagos	2016-06-22
7007388	Tungan Abdlukola	Tungan Abdlukola	Tungan Abdlukola,Tungan Abdulkola	13.02214	4.70196	P	PPL	NG		51				0		230	Africa/Lagos	2012-01-20
7007390	Tungan Toso	Tungan Toso		13.01864	4.708	P	PPL	NG		51	615	61506		0		228	Africa/Lagos	2016-06-22
7007391	Tungan Daukalawa	Tungan Daukalawa		13.0097	4.70111	P	PPL	NG		51	615	61506		0		228	Africa/Lagos	2016-06-22
7007392	Maji	Maji		13.00426	4.74303	P	PPL	NG		51	615	61506		0		230	Africa/Lagos	2016-06-22
7007393	Gidan Tudo	Gidan Tudo		13.01368	4.75583	P	PPL	NG		51	615	61506		0		232	Africa/Lagos	2016-06-22
7007394	Maraha	Maraha		13.01091	4.77491	P	PPL	NG		51	615	61504		0		233	Africa/Lagos	2016-06-22
7007395	Gidan Gero	Gidan Gero		13.02214	4.78482	P	PPL	NG		51	615	61504		0		234	Africa/Lagos	2016-06-22
7007396	Karanja	Karanja		13.02552	4.77757	P	PPL	NG		51	615	61504		0		235	Africa/Lagos	2016-06-22
7007397	Danjao	Danjao		13.03337	4.7876	P	PPL	NG		51	615	61504		0		230	Africa/Lagos	2016-06-22
7007398	Tungan Doleh	Tungan Doleh		13.04159	4.78675	P	PPL	NG		51	615	61504		0		231	Africa/Lagos	2016-06-22
7007399	Gumtsi	Gumtsi		13.04606	4.79025	P	PPL	NG		51	615	61504		0		232	Africa/Lagos	2016-06-22
7007400	Gitarana	Gitarana		13.03881	4.9201	P	PPL	NG		51	615	61501		0		301	Africa/Lagos	2016-06-22
7007401	Kandawa	Kandawa		13.04811	4.94402	P	PPL	NG		51	615	61501		0		269	Africa/Lagos	2016-06-22
7007402	Kamasu	Kamasu		13.04666	4.96057	P	PPL	NG		51	615	61501		0		285	Africa/Lagos	2016-06-22
7007403	Leni	Leni		13.03639	4.94994	P	PPL	NG		51	615	61501		0		245	Africa/Lagos	2016-06-22
7007424	Gaboa	Gaboa		13.01996	4.97337	P	PPL	NG		51	615	61509		0		252	Africa/Lagos	2016-06-22
7007489	Gansaluwa	Gansaluwa		13.01332	4.94015	P	PPL	NG		51	615	61509		0		273	Africa/Lagos	2016-06-22
7007513	Yarume Rafi	Yarume Rafi		13.00837	4.98509	P	PPL	NG		51	621	62109		0		254	Africa/Lagos	2016-06-22
7007736	Kulfo	Kulfo		10.00487	5.10418	P	PPL	NG		31	27016			0		215	Africa/Lagos	2016-01-30
7007737	Gaba Ushama	Gaba Ushama		10.05273	5.99699	H	STM	NG		31				0		188	Africa/Lagos	2009-11-28
7007738	Lalle	Lalle		10.22938	5.96193	P	PPL	NG		31	27015			0		252	Africa/Lagos	2016-01-30
7007739	Chiyumu	Chiyumu		10.23227	5.94511	P	PPL	NG		31	27015			0		233	Africa/Lagos	2016-01-30
7007740	Malendo	Malendo		10.55841	5.43816	H	STM	NG		31				0		310	Africa/Lagos	2009-11-28
7007741	Tunga Maigogwi Hill	Tunga Maigogwi Hill	Tunga Maigogwi Hill	10.80942	5.97724	T	HLL	NG		31	27015			0		467	Africa/Lagos	2018-12-06
7007742	Kambuwa	Kambuwa		10.93723	5.03379	P	PPL	NG		40	515	51506		0		243	Africa/Lagos	2016-06-22
7007746	Bukari	Bukari		13.55132	4.78045	P	PPL	NG		51	619	61904		0		262	Africa/Lagos	2016-06-22
7007747	Dankaiwa	Dankaiwa		13.39028	4.69388	P	PPL	NG		51	606	60603		0		244	Africa/Lagos	2016-06-22
7007749	Tulua	Tulua		13.30439	4.34556	P	PPL	NG		51	606	60604		0		282	Africa/Lagos	2016-06-22
7007750	Karfin Chana	Karfin Chana		13.24542	4.50304	P	PPL	NG		51	606	60606		0		226	Africa/Lagos	2016-06-22
7007751	Matobare	Matobare		13.24178	4.82893	P	PPL	NG		51	601	60103		0		256	Africa/Lagos	2016-06-22
7007752	Gidan Pore	Gidan Pore		13.28916	4.89192	P	PPL	NG		51	601	60105		0		258	Africa/Lagos	2016-06-22
7007753	Bijimi	Bijimi		13.31309	4.91772	P	PPL	NG		51	619	61909		0		262	Africa/Lagos	2016-06-22
7007754	Rumbuki	Rumbuki		13.28355	4.91005	P	PPL	NG		51	601	60110		0		261	Africa/Lagos	2016-06-22
7007755	Bariki	Bariki		13.28561	4.93295	P	PPL	NG		51	601	60110		0		267	Africa/Lagos	2016-06-22
7007757	Kabawa	Kabawa		13.28271	4.9337	P	PPL	NG		51	601	60110		0		267	Africa/Lagos	2016-06-22
7007759	Salibawa	Salibawa		13.26056	4.97557	P	PPL	NG		51	619	61901		0		278	Africa/Lagos	2016-06-22
7007760	Sabongari-Nagaruwaye	Sabongari-Nagaruwaye		13.25729	4.97192	P	PPL	NG		51	619	61901		0		277	Africa/Lagos	2016-06-22
7007761	Dalijem Hausawa	Dalijem Hausawa		13.24701	4.87725	P	PPL	NG		51	601	60105		0		247	Africa/Lagos	2016-06-22
7007763	Tungan Katchira	Tungan Katchira		13.18598	4.4651	P	PPL	NG		51	606	60606		0		224	Africa/Lagos	2016-06-22
7007764	Gomozo	Gomozo		13.15168	4.62285	P	PPL	NG		51	601	60109		0		256	Africa/Lagos	2016-06-22
7007765	Sabarumowa	Sabarumowa		13.15722	4.35989	P	PPL	NG		40	502	50201		0		217	Africa/Lagos	2016-06-22
7007766	Tundun Walda	Tundun Walda		13.15009	4.40566	P	PPL	NG		40	502	50201		0		224	Africa/Lagos	2016-06-22
7007767	Karani	Karani		13.13262	4.55827	P	PPL	NG		51	601	60109		0		247	Africa/Lagos	2016-06-22
7007768	Sabarumowa	Sabarumowa		13.11925	4.73594	P	PPL	NG		51	601	60109		0		251	Africa/Lagos	2016-06-22
7007769	Gajari Jenawa	Gajari Jenawa		13.11963	4.74323	P	PPL	NG		51	601	60109		0		247	Africa/Lagos	2016-06-22
7007770	Chofan	Chofan		13.10337	4.77416	P	PPL	NG		51	615	61508		0		231	Africa/Lagos	2016-06-22
7007771	Gidan Buji	Gidan Buji		13.12682	4.9365	P	PPL	NG		51	601	60102		0		267	Africa/Lagos	2016-06-22
7007772	Mahaku	Mahaku		13.0029	4.99463	P	PPL	NG		51	621	62109		0		262	Africa/Lagos	2016-06-22
7007773	Illela	Illela		13.00547	4.99482	P	PPL	NG		51	621	62109		0		266	Africa/Lagos	2016-06-22
7007774	Yarume	Yarume		13.00635	4.99473	P	PPL	NG		51	621	62109		0		269	Africa/Lagos	2016-06-22
